id,city,postcode,coord_X,coord_Y,dist,bearing,house_state_index,house_quality_index,floors,bedrooms,baths,basement,living_m2,lot_m2,living_vs_neighbors,lot_vs_neighbors,age_since_construction,age_since_renovation,POI_view,view_quality,month,dow,price
69,Springfield,10009,9938.99934387399,23935.068650911,25916.620522,22.550591,Fair,7,3,4,2.5,N,343,5928,1.15,1.35,22,21,N,Very Poor,2,Tuesday,787817
70,Springfield,10016,-12252.7585399446,-6357.82431434882,13804.058166,-117.424312,Good,4,1,3,1.5,S,181,706,1.05,1,58,57,N,Very Poor,9,Thursday,241436
71,Springfield,10018,-943.684009568948,-13608.3220698362,13641.003228,-176.033112,Very Good,4,1,5,1,N,148,681,0.99,0.95,52,51,N,Very Poor,8,Tuesday,228261
72,Springfield,10045,10084.1863107554,-16890.6168591243,19671.902588,149.161578,Fair,4,1,3,1.75,S,164,605,1,0.8,29,29,N,Very Poor,4,Thursday,211575
73,Springfield,10049,-2363.25946111946,22937.5166894653,23058.938986,-5.882446,Fair,4,1,3,2.25,S,165,675,0.86,1,42,41,N,Fair,6,Monday,394694
74,Springfield,10051,-10148.805178469,-10575.5543240333,14657.441653,-136.179649,Fair,3,1,2,1,N,77,742,0.64,1,60,59,N,Very Poor,8,Monday,175614
75,Springfield,10052,-8063.56351047112,24043.3539191567,25359.493768,-18.540216,Good,4,1,3,1.5,S,143,753,1.19,1,56,56,N,Very Poor,11,Tuesday,286261
76,Springfield,10051,-10979.4004211386,-10885.360324892,15460.863592,-134.753573,Fair,3,1,3,1,N,114,626,0.78,0.94,63,63,N,Very Poor,3,Wednesday,172948
77,Springfield,10054,-12838.9192441386,1414.96992247291,12916.65542,-83.710846,Fair,4,1,3,1,S,119,373,1.05,0.87,62,62,N,Very Poor,3,Thursday,384564
78,Springfield,10027,-13723.0986193986,-22519.958675925,26371.80264,-148.642917,Good,4,1,3,1.75,N,157,916,0.85,1,28,28,N,Very Poor,3,Tuesday,247944
79,Springfield,10030,8009.81759416309,8555.36207851115,11719.701284,43.113748,Good,6,1,4,2,S,315,8466,1,2.13,37,37,N,Very Poor,7,Wednesday,749085
80,Springfield,10021,14266.5001692419,2707.98506527459,14521.233081,79.252305,Fair,6,3,3,2.75,N,228,334,0.95,1,8,8,N,Very Poor,3,Friday,694008
81,Springfield,10005,4472.18238059529,12187.2586709361,12981.898519,20.150893,Fair,5,1,4,2.25,N,154,681,0.93,0.98,49,0,N,Very Poor,10,Monday,534794
82,Springfield,10052,-7317.64600004188,20717.9385172779,21972.276154,-19.453393,Good,5,1,3,1.75,N,151,786,0.79,0.9,55,55,N,Very Poor,3,Monday,484659
83,Springfield,10024,-6661.21667055578,4017.43834022871,7778.921413,-58.905452,Good,3,1,2,1,N,73,478,0.54,1,66,65,N,Very Poor,2,Tuesday,301111
84,Springfield,10052,-7990.18809404441,22853.5716002623,24210.097907,-19.270921,Fair,4,5,2,1.5,N,133,153,1,1,16,16,N,Very Poor,10,Wednesday,261033
85,Springfield,10044,-8981.56670536521,12437.059463098,15341.088246,-35.83537,Fair,5,3,3,1.75,S,200,325,0.55,0.55,94,94,N,Very Poor,7,Monday,835165
86,Springfield,10045,9482.56243792074,-18548.1710868198,20831.553976,152.922076,Good,4,3,3,2.5,N,157,667,1.2,0.84,24,24,N,Very Poor,7,Friday,237984
87,Springfield,10013,263.677940216997,-1311.92749275931,1338.162846,168.635804,Fair,2,1,4,2,N,133,1011,0.96,0.91,71,70,N,Very Poor,2,Friday,241045
88,Springfield,10054,-13594.8269439126,171.445602645664,13595.907959,-89.277476,Fair,3,1,3,2,N,109,499,0.99,0.75,96,96,N,Very Poor,6,Thursday,295127
89,Springfield,10043,-8386.21647153756,8311.28877289286,11807.038061,-45.257105,Fair,4,3,2,1.5,N,118,147,1.04,0.91,15,15,N,Very Poor,7,Monday,330249
90,Springfield,10002,2678.07813359099,-9260.69098578538,9640.150415,163.87078,Fair,4,3,4,2.5,N,173,527,0.78,1.07,10,9,N,Very Poor,11,Monday,238503
91,Springfield,10050,-938.679629462846,17489.0743492787,17514.246802,-3.072251,Fair,5,2,3,2.75,S,278,1174,1.97,1.31,75,4,N,Very Poor,9,Wednesday,794148
92,Springfield,10035,-8436.6562879941,-26865.8115879773,28159.350163,-162.566175,Fair,5,3,3,2.5,N,215,662,0.98,0.9,24,23,N,Very Poor,4,Friday,270255
93,Springfield,10053,865.514503068439,4469.55255890681,4552.58338,10.959497,Good,5,1,4,1.75,S,233,833,1,1,50,49,N,Very Poor,5,Tuesday,522376
94,Springfield,10011,3211.17274312811,-18454.8857829811,18732.176586,170.129289,Fair,5,3,3,2.5,N,154,582,0.76,1.01,12,12,N,Very Poor,6,Monday,250668
95,Springfield,10046,9946.80892675697,19365.3820605152,21770.5542,27.186785,Fair,7,3,4,2.5,N,352,3274,0.95,0.99,27,27,N,Very Poor,6,Friday,839621
96,Springfield,10008,-9872.9264787418,18664.7943922324,21115.142125,-27.877042,Fair,4,5,3,1.5,N,110,115,0.92,0.37,8,8,N,Very Poor,4,Thursday,384253
97,Springfield,10008,-6645.95230033201,17403.8400206775,18629.608945,-20.900207,Fair,5,2,3,1.75,N,138,696,0.7,1.04,73,73,N,Very Poor,7,Thursday,578489
98,Springfield,10053,1768.77780648792,4080.62022923927,4447.475282,23.43471,Good,6,1,3,2.25,S,226,775,0.95,0.8,38,38,N,Very Poor,8,Wednesday,608501
99,Springfield,10050,-2214.85683253341,18612.378819804,18743.698571,-6.786235,Good,4,1,2,1,S,107,558,0.47,0.83,94,94,N,Poor,2,Thursday,731035
100,Springfield,10011,1548.37997281302,-16409.8865602203,16482.774568,174.609728,Good,4,3,3,2.75,N,213,3217,5.76,0.13,32,32,N,Good,5,Tuesday,472581
101,Springfield,10055,-15654.9468401127,18332.7855726597,24107.434277,-40.495064,Fair,5,1,3,2,S,200,360,1.01,0.97,64,64,N,Very Poor,12,Monday,505344
102,Springfield,10050,-187.787925888793,15876.8361615143,15877.946681,-0.677651,Fair,4,3,3,2.5,N,138,1326,0.9,1,19,19,N,Very Poor,6,Thursday,411246
103,Springfield,10011,7365.03790941073,-17039.1875419879,18562.804085,156.624013,Good,3,1,3,1,N,80,482,0.77,0.95,47,47,N,Very Poor,4,Wednesday,174316
104,Springfield,10018,-1094.61960941624,-13319.2316078926,13364.135689,-175.301797,Very Good,4,1,3,1.75,N,131,867,0.87,1.13,55,55,N,Very Poor,10,Tuesday,224692
105,Springfield,10054,-12539.7388653605,469.279066842315,12548.516791,-87.8568,Good,4,1,5,1.75,S,170,743,1.3,1.1,53,53,N,Very Poor,7,Friday,311733
106,Springfield,10044,-8907.680489065,11603.0723757959,14627.988934,-37.513455,Good,5,2,5,1.5,S,284,278,2.56,2.48,84,84,N,Very Poor,2,Wednesday,669058
107,Springfield,10050,412.851793318683,19846.1181043767,19850.411845,1.191732,Fair,6,3,4,2.75,N,280,672,1,1,2,2,N,Very Poor,6,Friday,775908
108,Springfield,10026,-14197.177763202,250.703000313779,14199.391129,-88.988339,Fair,3,1,2,1,N,89,462,1.03,0.99,63,62,N,Very Poor,3,Tuesday,186184
109,Springfield,10034,-10386.245548687,25514.683138494,27547.652391,-22.149732,Fair,3,1,2,1,N,94,1112,0.83,1.07,69,69,N,Very Poor,7,Wednesday,265082
110,Springfield,10008,-10024.2139796872,18009.0651285562,20610.950796,-29.101207,Good,4,1,4,1.75,S,181,285,1.47,1,104,104,N,Very Poor,4,Thursday,553348
111,Springfield,10055,-13926.6162855562,18917.6777294891,23491.044503,-36.359365,Fair,4,3,4,2.25,S,188,461,1.27,1.09,77,77,N,Very Poor,11,Tuesday,431062
112,Springfield,10049,862.80718239162,22736.9681327007,22753.332857,2.173179,Good,4,1,5,2.5,S,233,747,1.36,0.95,38,38,N,Very Poor,7,Monday,417540
113,Springfield,10049,-4313.50684627114,23450.085984313,23843.508005,-10.422715,Good,4,1,3,1,N,110,696,0.81,0.92,52,52,N,Very Poor,9,Friday,309225
114,Springfield,10004,-14387.0085712449,14893.9244495092,20707.848781,-44.008186,Good,6,2,4,2,N,152,558,0.86,1,104,104,N,Very Poor,11,Friday,646897
115,Springfield,10013,-1017.00874593366,-1111.71981174041,1506.72749,-137.547515,Good,5,1,4,1.75,S,241,1830,1.32,2.06,58,58,N,Fair,10,Wednesday,338415
116,Springfield,10020,-2683.9774760467,-22190.7097689153,22352.434658,-173.103546,Fair,4,2,3,1,N,100,985,0.73,1,61,60,N,Very Poor,11,Tuesday,192084
117,Springfield,10010,864.916701955438,8505.46097225477,8549.324374,5.806424,Very Good,5,1,4,2.5,S,279,805,1.32,0.98,57,57,N,Very Poor,4,Friday,979511
118,Springfield,10002,5767.34966258195,-5478.35670589457,7954.540485,133.527933,Fair,4,1,3,2,S,183,7406,1.04,2.18,36,36,N,Very Poor,10,Wednesday,316717
119,Springfield,10017,14961.2280341746,25313.3943176923,29404.188072,30.584785,Fair,5,3,3,2.5,N,172,345,0.88,0.82,2,1,N,Very Poor,6,Wednesday,271495
120,Springfield,10020,-2154.8808688677,-22568.9292752206,22671.569866,-174.545934,Good,4,1,3,1.5,N,112,727,0.87,0.93,58,58,N,Very Poor,5,Tuesday,172084
121,Springfield,10027,-13647.4895463028,-22520.1345432382,26332.687496,-148.783601,Good,4,1,4,2.5,S,208,911,1.13,1,27,27,N,Very Poor,6,Monday,193252
122,Springfield,10040,11536.2187602994,12830.6923079933,17254.304054,41.959064,Poor,4,1,2,1,S,101,974,0.94,0.99,34,34,N,Very Poor,8,Tuesday,356506
123,Springfield,10025,-11067.2139779939,22336.0372016941,24927.530626,-26.357813,Good,4,1,3,1.75,N,115,796,0.73,1.07,41,40,N,Very Poor,8,Sunday,332833
124,Springfield,10033,-113.400683318457,-21835.554648655,21835.849114,-179.702443,Fair,5,3,3,2.5,N,250,731,1.15,0.98,26,7,N,Very Poor,6,Monday,309024
125,Springfield,10043,-8686.86860486654,8445.1471682663,12115.370273,-45.808352,Fair,4,1,3,2,S,130,227,1,0.76,13,13,N,Very Poor,8,Friday,327758
126,Springfield,10055,-13176.2842899093,18726.9191633886,22897.859486,-35.130268,Very Good,4,3,3,2,N,118,287,0.88,1,104,104,N,Very Poor,9,Saturday,501997
127,Springfield,10007,-3575.89619669755,2925.15807556704,4619.91162,-50.716114,Fair,5,3,4,2.25,N,257,1253,1.2,1,41,41,N,Very Poor,6,Friday,782163
128,Springfield,10036,-13144.2455946455,-418.84449642083,13150.917191,-91.825126,Fair,4,2,4,1,N,120,465,0.9,2,58,58,N,Very Poor,3,Monday,242387
129,Springfield,10015,-1386.86842317742,27451.3266883364,27486.337351,-2.892181,Fair,3,1,3,1,S,115,669,0.59,0.85,79,79,N,Very Poor,3,Wednesday,273167
130,Springfield,10040,12294.3683286835,9696.87405856479,15658.252109,51.736277,Fair,5,3,4,2.5,N,244,389,1.07,1,16,15,N,Very Poor,7,Monday,499572
131,Springfield,10048,2961.3049956188,27151.7137208025,27312.723871,6.224369,Fair,4,1,3,1.75,S,214,1536,1.19,1.06,32,32,N,Very Poor,2,Monday,425591
132,Springfield,10004,-13190.7220754399,12344.9903507176,18066.37583,-46.896918,Fair,6,5,3,2.5,N,147,138,0.98,1.15,5,4,N,Poor,9,Monday,684099
133,Springfield,10032,-3428.45767146569,-2411.61741934025,4191.684695,-125.123004,Fair,4,1,4,2.75,S,177,560,0.86,1.01,55,55,N,Fair,12,Thursday,409173
134,Springfield,10024,-8013.81345261399,5642.39148346235,9800.907494,-54.851267,Fair,6,3,3,2.5,S,149,234,0.99,0.6,9,8,N,Fair,7,Friday,402895
135,Springfield,10041,-15732.0423602582,17588.0566683408,23597.391682,-41.811774,Fair,5,5,4,2.5,N,178,140,1.26,0.39,2,2,N,Very Poor,8,Tuesday,556154
136,Springfield,10053,5458.44452500003,2392.94128065371,5959.931594,66.327714,Fair,7,3,5,3.5,S,408,1204,0.76,1,0,0,N,Good,1,Tuesday,1650251
137,Springfield,10014,-1168.89399714245,-7215.48373067266,7309.549825,-170.798138,Poor,3,1,3,0.75,N,97,3920,0.82,1.75,68,68,N,Very Poor,9,Tuesday,149607
138,Springfield,10028,-6143.50783458199,-4721.94962201501,7748.515777,-127.54617,Fair,4,1,3,1,N,133,1049,0.9,1.12,49,48,N,Very Poor,1,Thursday,223650
139,Springfield,10033,-1172.02818044633,-22947.208843656,22977.120006,-177.07616,Fair,6,3,2,1.75,N,233,1780,1.04,1.47,38,38,N,Very Poor,10,Friday,324541
140,Springfield,10019,-16071.2872880818,3457.58556564411,16439.013749,-77.858423,Fair,5,3,3,3.5,S,228,860,0.94,0.91,82,22,N,Very Good,10,Wednesday,826411
141,Springfield,10017,16913.5155177647,24473.7284633653,29749.460366,34.64791,Fair,5,3,4,2.5,N,190,1509,0.81,1.06,19,19,N,Very Poor,3,Saturday,418866
142,Springfield,10027,-12746.0726597072,-25245.9954312973,28281.136002,-153.21193,Fair,4,3,3,2.5,N,170,654,1.01,1.09,24,23,N,Very Poor,3,Thursday,241304
143,Springfield,10021,12752.5041386184,6506.91397183003,14316.643854,62.967235,Fair,5,3,3,2.5,N,200,703,1,1.03,26,25,N,Very Poor,9,Thursday,487293
144,Springfield,10029,-15613.2491494777,5846.7624915892,16672.077874,-69.47036,Good,4,1,4,1.75,S,206,625,1.38,1.06,62,62,N,Very Poor,4,Thursday,625527
145,Springfield,10024,-7191.76948395423,1027.28557326781,7264.768679,-81.870757,Fair,5,3,7,4,N,293,726,1.67,1.3,2,2,N,Very Poor,9,Tuesday,396457
146,Springfield,10004,-14090.1783509859,13369.9816952465,19423.942352,-46.50235,Good,4,1,2,1.75,S,142,326,1.19,2.3,99,99,N,Poor,7,Wednesday,462301
147,Springfield,10051,-9776.48721303102,-13555.7838984473,16713.437089,-144.200702,Fair,4,1,3,1,S,152,1294,0.79,1.07,55,55,N,Very Poor,9,Tuesday,149918
148,Springfield,10011,5022.73556176355,-16341.2359837143,17095.726542,162.914367,Fair,4,3,3,2.5,N,162,418,0.9,1,3,3,N,Very Poor,3,Tuesday,263849
149,Springfield,10012,4545.13438821365,15022.4902214709,15695.013828,16.83347,Good,5,3,4,2.25,N,221,873,1,0.97,37,37,N,Very Poor,6,Sunday,604951
150,Springfield,10046,14308.1948721866,16394.7156178916,21760.311135,41.112248,Fair,6,3,3,2.5,N,286,20793,0.85,1,12,12,N,Very Poor,4,Tuesday,663499
151,Springfield,10045,10843.8395549185,-19212.8835118534,22061.816542,150.559418,Fair,5,3,4,2.5,N,242,461,1.06,0.99,10,9,N,Very Poor,3,Wednesday,327332
152,Springfield,10026,-14489.5714014581,3831.47083963342,14987.589806,-75.188317,Good,4,1,2,1,N,71,448,0.83,1,87,86,N,Very Poor,6,Wednesday,240769
153,Springfield,10036,-11790.8798287354,-1655.83678831224,11906.579803,-97.99398,Fair,5,3,4,2.5,N,243,375,1.29,1.02,0,0,N,Very Poor,8,Wednesday,350983
154,Springfield,10048,4087.4617000185,24861.9746427965,25195.736272,9.336259,Good,5,1,2,1.75,N,206,3057,1,1,44,43,N,Very Poor,10,Wednesday,434246
155,Springfield,10050,1313.66497923036,19646.1196850454,19689.990715,3.825467,Fair,6,3,4,2.5,N,281,667,1,1,10,10,N,Very Poor,3,Monday,716688
156,Springfield,10014,-3203.2263760276,-3912.68010979498,5056.651546,-140.693557,Very Good,3,1,3,1,N,118,664,0.77,1,66,66,N,Very Poor,10,Thursday,206659
157,Springfield,10029,-15164.6389605599,4744.87617361346,15889.623177,-72.625578,Fair,6,3,2,2,S,134,109,1,0.87,11,11,N,Very Poor,11,Wednesday,383323
158,Springfield,10045,13713.1187761087,-18239.6393898468,22819.598411,143.063035,Fair,7,3,5,2.75,N,349,1123,1.2,1.67,10,10,N,Very Good,3,Monday,682391
